product,url,category,price,amount,content,unit,vegan,vegetarian,nutriscore,carbs_100g,protein_100g,fat_100g
Blue Band Goede start!,https://www.ah.nl/producten/product/wi49816/blue-band-goede-start,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.39,500.0,Inhoud en gewicht500 GramPortiegrootte: 1 portie=10 gAantal porties: 50,g,False,False,,1.1,0.5,38.0
Liga Cracotte volkoren crackers,https://www.ah.nl/producten/product/wi114389/liga-cracotte-volkoren-crackers,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,250.0,"Inhoud en gewicht250 GramPortiegrootte: 1 cracotte (7,35g)",g,False,False,,72.0,11.0,2.9
AH Hagelslag puur,https://www.ah.nl/producten/product/wi425491/ah-hagelslag-puur,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,600.0,Inhoud en gewicht600 GramPortiegrootte: 20 gramAantal porties: 30,g,False,True,E,67.0,5.2,16.0
AH Extra jam aardbeien,https://www.ah.nl/producten/product/wi132400/ah-extra-jam-aardbeien,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.19,450.0,Inhoud en gewicht450 GramPortiegrootte: 15 gramAantal porties: 30,g,True,True,D,60.0,0.4,0.2
Hero B'tween mueslireep melkchocolade,https://www.ah.nl/producten/product/wi167428/hero-b-tween-mueslireep-melkchocolade,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.55,150.0,Inhoud en gewicht6 Stuks. 150 Gram6x25gPortiegrootte: per reep 25gAantal porties: 6,g,False,False,,66.0,6.8,18.0
AH Leverworst gesneden,https://www.ah.nl/producten/product/wi171465/ah-leverworst-gesneden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.79,115.0,Inhoud en gewicht1 Stuks,g,False,False,D,4.0,16.0,23.0
AH Kipgrillworst,https://www.ah.nl/producten/product/wi197444/ah-kipgrillworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.39,150.0,Inhoud en gewicht150 GramPortiegrootte: 6 gramAantal porties: 25,g,False,False,D,5.0,14.0,12.0
AH Dikke rijstwafels meergranen,https://www.ah.nl/producten/product/wi166806/ah-dikke-rijstwafels-meergranen,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.85,121.42857142857143,Inhoud en gewicht120 GramPortiegrootte: 10 gramAantal porties: 12,g,True,True,A,74.0,7.9,3.2
AH Grillworst zaanlanderkaas,https://www.ah.nl/producten/product/wi197173/ah-grillworst-zaanlanderkaas,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,125.0,Inhoud en gewicht130 GramPortiegrootte: 15 gramAantal porties: 8.5,g,False,False,E,4.4,16.0,22.0
AH Zuivelspread knoflook kruiden,https://www.ah.nl/producten/product/wi506230/ah-zuivelspread-knoflook-kruiden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.89,200.0,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,g,False,True,D,3.6,3.8,20.0
AH Dikke maiswafel,https://www.ah.nl/producten/product/wi456494/ah-dikke-maiswafel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.89,138.0,Inhoud en gewicht138 GramPortiegrootte: 11 gramAantal porties: 13,g,True,True,A,79.0,8.7,2.2
Kips Smeerleverworst kleintje,https://www.ah.nl/producten/product/wi150883/kips-smeerleverworst-kleintje,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,120.0,Inhoud en gewicht6 Stuks. 120 Gram6 x 20g = 120gAantal porties: 6,g,False,False,,1.3,11.5,22.0
Milner Smeerkaas 20+ naturel,https://www.ah.nl/producten/product/wi367160/milner-smeerkaas-20-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.09,150.0,Inhoud en gewicht150 GramAantal porties: 10,g,False,False,,1.0,17.0,7.0
Barber Cream crackers,https://www.ah.nl/producten/product/wi225345/barber-cream-crackers,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.49,300.0,Inhoud en gewicht300 Gram,g,False,False,,69.3,9.8,13.8
AH Cremepate,https://www.ah.nl/producten/product/wi505580/ah-cremepate,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.49,80.0,Inhoud en gewicht80 GramPortiegrootte: 15 gramAantal porties: 5,g,False,False,E,4.3,9.1,23.0
AH Mini crackers naturel,https://www.ah.nl/producten/product/wi32655/ah-mini-crackers-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.18,250.0,Inhoud en gewicht250 GramPortiegrootte: 25 gramAantal porties: 10,g,False,True,C,72.0,9.8,11.0
AH Hagelslag melk,https://www.ah.nl/producten/product/wi425490/ah-hagelslag-melk,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,600.0,Inhoud en gewicht600 GramPortiegrootte: 20 gramAantal porties: 30,g,False,True,E,67.0,6.8,17.0
Kips Vega smeerworst tuinkruiden,https://www.ah.nl/producten/product/wi462556/kips-vega-smeerworst-tuinkruiden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,125.0,Inhoud en gewicht125 Gram,g,False,False,,8.8,7.0,19.0
AH Excellent Jamon serrano,https://www.ah.nl/producten/product/wi497903/ah-excellent-jamon-serrano,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,50.0,Inhoud en gewicht50 GramPortiegrootte: 10 gramAantal porties: 5,g,False,False,D,0.1,30.0,10.0
Johma Ei salade,https://www.ah.nl/producten/product/wi211716/johma-ei-salade,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.15,175.0,Inhoud en gewicht175 GramPortiegrootte: per portie* *Een portie komt overeen met 15 gram salade; voldoende voor een belegde boterham.Aantal porties: 11 - 12,g,False,False,,3.2,7.8,28.6
"Blue Band Voor koken, bakken en braden",https://www.ah.nl/producten/product/wi3834/blue-band-voor-koken-bakken-en-braden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,250.0,Inhoud en gewicht250 GramAantal porties: 25,g,False,False,,0.5,0.5,79.0
AH Ontbijtkoek volkoren gesneden,https://www.ah.nl/producten/product/wi217850/ah-ontbijtkoek-volkoren-gesneden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.25,475.0,Inhoud en gewicht475 GramPortiegrootte: 25 gramAantal porties: 19,g,True,True,C,58.0,3.7,1.3
Philadelphia Original,https://www.ah.nl/producten/product/wi384175/philadelphia-original,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.39,200.0,Inhoud en gewicht200 GramPortiegrootte: 1 portie = 30 g. Bevat 7-8 porties.,g,False,False,,4.3,5.4,21.0
De Ruijter Vruchten hagel,https://www.ah.nl/producten/product/wi119017/de-ruijter-vruchten-hagel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,400.0,Inhoud en gewicht400 GramPortiegrootte: Per portie 15 g,g,False,False,,100.0,0.0,0.0
AH Zachte kruiden roomkaas,https://www.ah.nl/producten/product/wi257/ah-zachte-kruiden-roomkaas,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.99,125.0,Inhoud en gewicht125 GramPortiegrootte: 10 gramAantal porties: 13,g,False,True,D,4.4,4.6,28.0
Paturain Knoflook fijne kruiden 60+,https://www.ah.nl/producten/product/wi1969/paturain-knoflook-fijne-kruiden-60,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,90.0,Inhoud en gewicht90 Gram,g,False,False,,2.3,7.0,34.5
AH Aardbei fruitspread minder suiker,https://www.ah.nl/producten/product/wi413748/ah-aardbei-fruitspread-minder-suiker,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.49,335.0,Inhoud en gewicht335 GramPortiegrootte: 15 gramAantal porties: 22,g,False,True,C,29.0,0.3,0.0
AH Flinterdunne achterham,https://www.ah.nl/producten/product/wi132234/ah-flinterdunne-achterham,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.89,100.0,Inhoud en gewicht100 GramPortiegrootte: 8 gramAantal porties: 12,g,False,False,C,4.8,16.0,2.1
Snack a Jacks Smokey barbecue paprika,https://www.ah.nl/producten/product/wi513521/snack-a-jacks-smokey-barbecue-paprika,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,103.0,Inhoud en gewicht103 GramPortiegrootte: 8g (1) gemiddelde portieAantal porties: 13,g,False,False,A,78.0,8.1,2.1
Croma Bakken en braden,https://www.ah.nl/producten/product/wi122553/croma-bakken-en-braden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.59,250.0,Inhoud en gewicht250 GramAantal porties: 25,g,False,False,,0.6,0.5,98.0
AH Goudsalami,https://www.ah.nl/producten/product/wi137935/ah-goudsalami,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.25,98.0,Inhoud en gewicht98 GramPortiegrootte: 15 gram,g,False,False,E,0.2,21.0,24.0
Bolletje Schuddebuikjes speculaas,https://www.ah.nl/producten/product/wi389243/bolletje-schuddebuikjes-speculaas,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.89,300.0,Inhoud en gewicht300 GramPortiegrootte: per 100 g. per 20 gAantal porties: 15,g,False,False,,68.0,6.0,19.0
Liga Cracotte crackers naturel,https://www.ah.nl/producten/product/wi3631/liga-cracotte-crackers-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,250.0,"Inhoud en gewicht250 GramPortiegrootte: 1 cracotte (7,35g)",g,False,False,,78.0,11.0,2.7
AH Achterham,https://www.ah.nl/producten/product/wi543345/ah-achterham,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.69,150.0,Inhoud en gewicht150 GramPortiegrootte: 25 gramAantal porties: 6,g,False,False,C,4.8,16.0,2.1
AH Krokante muesli chocolade,https://www.ah.nl/producten/product/wi437940/ah-krokante-muesli-chocolade,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.19,600.0,Inhoud en gewicht600 GramPortiegrootte: 40 gramAantal porties: 15,g,False,True,C,57.0,10.0,18.0
Wahid Kipfilet naturel,https://www.ah.nl/producten/product/wi162009/wahid-kipfilet-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.09,125.0,Inhoud en gewicht125 Gram,g,False,False,,5.0,15.0,2.0
AH Geitenkaas schijfjes naturel,https://www.ah.nl/producten/product/wi236943/ah-geitenkaas-schijfjes-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.19,200.0,Inhoud en gewicht200 Gram2 x 6 schijfjes (ca. 17 g)Portiegrootte: 17 gramAantal porties: 12,g,False,True,D,3.1,17.0,22.0
AH Kruidenboter,https://www.ah.nl/producten/product/wi1981/ah-kruidenboter,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.29,100.0,Inhoud en gewicht100 GramPortiegrootte: 5 gramAantal porties: 20,g,False,True,E,2.5,0.9,72.0
AH Excellent Prosciutto crudo,https://www.ah.nl/producten/product/wi498162/ah-excellent-prosciutto-crudo,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,50.0,Inhoud en gewicht50 GramPortiegrootte: 13 gramAantal porties: 4,g,False,False,D,0.3,27.0,13.0
AH Knackebrod Volkoren,https://www.ah.nl/producten/product/wi455672/ah-knackebrod-volkoren,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.29,375.0,Inhoud en gewicht375 GramPortiegrootte: 15 gramAantal porties: 25,g,False,True,A,64.0,11.0,4.8
AH Scharrelei bieslook salade,https://www.ah.nl/producten/product/wi217288/ah-scharrelei-bieslook-salade,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.25,150.0,Inhoud en gewicht150 GramPortiegrootte: 30 gramAantal porties: 5,g,False,True,D,5.0,7.5,26.0
AH Hazelnootpasta,https://www.ah.nl/producten/product/wi55733/ah-hazelnootpasta,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.55,400.0,Inhoud en gewicht400 GramPortiegrootte: 15 gramAantal porties: 27,g,False,True,E,60.0,5.7,28.0
AH Vrije uitloop-eisalade,https://www.ah.nl/producten/product/wi376545/ah-vrije-uitloop-eisalade,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.19,175.0,Inhoud en gewicht175 GramPortiegrootte: 30 gramAantal porties: 6,g,False,True,D,4.7,8.5,26.0
Bolletje Volkoren beschuit,https://www.ah.nl/producten/product/wi442765/bolletje-volkoren-beschuit,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.15,,"Inhoud en gewicht13 StuksPortiegrootte: per 100 g. per beschuit (ca. 11,9 g)",,False,False,A,66.0,16.0,5.6
Peijnenburg Ontbijtkoek original gesneden,https://www.ah.nl/producten/product/wi450447/peijnenburg-ontbijtkoek-original-gesneden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.05,485.0,Inhoud en gewicht485 GramPortiegrootte: Per portie (30g)Aantal porties: 16,g,False,False,,69.1,2.5,1.3
Philadelphia Knoflook & fijne kruiden,https://www.ah.nl/producten/product/wi162764/philadelphia-knoflook-en-fijne-kruiden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.39,185.0,Inhoud en gewicht185 GramPortiegrootte: 100 g. 1 portie = 30 g.Aantal porties: 7 - 7,g,False,False,,4.0,5.3,20.0
Kips Vega smeerworst kleintje,https://www.ah.nl/producten/product/wi445420/kips-vega-smeerworst-kleintje,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.79,120.0,Inhoud en gewicht6 Stuks. 120 Gram6 x 20 g = 120 gAantal porties: 6,g,False,False,,8.5,7.1,19.1
Kroon Saksische leverworst,https://www.ah.nl/producten/product/wi130525/kroon-saksische-leverworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.65,150.0,Inhoud en gewicht150 Gram,g,False,False,,2.6,9.0,27.8
AH Dunne maïswafels met zeezout,https://www.ah.nl/producten/product/wi395531/ah-dunne-maiswafels-met-zeezout,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.29,,Inhoud en gewicht100 GramPortiegrootte: 25 gramAantal porties: 4,,True,True,A,82.0,9.0,0.8
AH Tostiham,https://www.ah.nl/producten/product/wi400690/ah-tostiham,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.49,150.0,Inhoud en gewicht150 GramPortiegrootte: 21 gramAantal porties: 7,g,False,False,C,4.5,15.0,2.1
AH Zuivelspread light,https://www.ah.nl/producten/product/wi506229/ah-zuivelspread-light,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.89,200.0,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,g,False,True,B,3.3,12.0,4.0
AH 100% Pindakaas naturel,https://www.ah.nl/producten/product/wi370835/ah-100-pindakaas-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.55,350.0,Inhoud en gewicht350 GramPortiegrootte: 15 gramAantal porties: 23,g,True,True,A,14.0,28.0,48.0
La Vache Qui Rit Smeerkaaspuntjes,https://www.ah.nl/producten/product/wi233269/la-vache-qui-rit-smeerkaaspuntjes,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.65,128.0,Inhoud en gewicht8 Stuks. 128 Gram,g,False,False,,4.5,10.5,17.5
AH Hagel mix,https://www.ah.nl/producten/product/wi479581/ah-hagel-mix,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,600.0,Inhoud en gewicht600 GramPortiegrootte: 20 gramAantal porties: 30,g,False,True,E,76.0,3.1,14.0
AH Krokante muesli naturel,https://www.ah.nl/producten/product/wi437374/ah-krokante-muesli-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,1000.0,Inhoud en gewicht1 KilogramPortiegrootte: 40 gramAantal porties: 25,g,False,True,A,68.0,9.9,10.0
Danone Hüttenkäse original,https://www.ah.nl/producten/product/wi1932/danone-huttenkase-original,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.59,200.0,Inhoud en gewicht1 Stuks,g,False,False,B,1.6,12.0,3.9
AH Saksische smeerleverworst,https://www.ah.nl/producten/product/wi188752/ah-saksische-smeerleverworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.46,205.0,Inhoud en gewicht162 GramPortiegrootte: 15 gramAantal porties: 11,g,False,False,E,2.7,11.0,31.0
